Nome Científico,Nome Popular,Valor,Sexo,Quantidade,Grupo,Ano Indivíduo 1,Mutação Indivíduo 1,Portador Indivíduo 1,Ano Indivíduo 2,Mutação Indivíduo 2,Portador Indivíduo 2,Nome Produto Sistema,Nome Tabela Impresso,Mutação 1,Mutaçã 2
Platycercus eximius,Rosela Eximius,"R$ 1.600,00",Fêmea,1,Normais,2016,Vermelho,,,,,Fêmea Rosela Eximius Vermelho 2016 ,Fêmea: Vermelho 2016 ,Rosela Eximius Vermelho,
Platycercus eximius,Rosela Eximius,"R$ 1.750,00",Macho,1,Inos,2017,Normal,/vermelho/ino,,,,Macho Rosela Eximius Normal/vermelho/ino 2017 ,Macho: Normal/vermelho/ino 2017 ,Rosela Eximius Normal,
Platycercus eximius,Rosela Eximius,"R$ 1.400,00",Macho,1,Canelas,2017,Normal,/vermelho/canela,,,,Macho Rosela Eximius Normal/vermelho/canela 2017 ,Macho: Normal/vermelho/canela 2017 ,Rosela Eximius Normal,
Platycercus eximius,Rosela Eximius,"R$ 950,00",Fêmea,1,Canelas,2017,Canela,,,,,Fêmea Rosela Eximius Canela 2017 ,Fêmea: Canela 2017 ,Rosela Eximius Canela,
Platycercus eximius,Rosela Eximius,"R$ 2.400,00",Macho,1,Vermelhos,2017,Vermelho,/ino,,,,Macho Rosela Eximius Vermelho/ino 2017 ,Macho: Vermelho/ino 2017 ,Rosela Eximius Vermelho,
Platycercus eximius,Rosela Eximius,"R$ 1.600,00",Macho,1,Vermelhos,2017,Vermelho,,,,,Macho Rosela Eximius Vermelho 2017 ,Macho: Vermelho 2017 ,Rosela Eximius Vermelho,
Platycercus eximius,Rosela Eximius,"R$ 1.400,00",Fêmea,1,Vermelhos,2017,Vermelho,,,,,Fêmea Rosela Eximius Vermelho 2017 ,Fêmea: Vermelho 2017 ,Rosela Eximius Vermelho,
Platycercus eximius,Rosela Eximius,"R$ 3.400,00",Fêmea,1,Inos,2017,Rubina,(marcação excelente),,,,Fêmea Rosela Eximius Rubina(marcação excelente) 2017 ,Fêmea: Rubina(marcação excelente) 2017 ,Rosela Eximius Rubina,
Platycercus eximius,Rosela Eximius,"R$ 2.950,00",Casal,1,Canelas,2016,Canela,/?vermelho,2015,Vermelho Canela,,Casal Rosela Eximius Macho Canela/?vermelho 2016 X Fêmea Vermelho Canela 2015,Casal: Macho Canela/?vermelho 2016 X Fêmea Vermelho Canela 2015,Rosela Eximius Canela,Rosela Eximius Vermelho Canela
Platycercus eximius,Rosela Eximius,"R$ 2.950,00",Casal,1,Canelas,2011,Normal,/canela/?vermelho,2015,Vermelho Canela,,Casal Rosela Eximius Macho Normal/canela/?vermelho 2011 X Fêmea Vermelho Canela 2015,Casal: Macho Normal/canela/?vermelho 2011 X Fêmea Vermelho Canela 2015,Rosela Eximius Normal,Rosela Eximius Vermelho Canela
Trichoglossus moluccanus,Lóris Molucanus,"R$ 1.650,00",Macho,1,Normais,2017,Comum,,,,,Macho Lóris Molucanus  2017 ,Macho:  2017 ,Lóris Molucanus Comum,
Trichoglossus moluccanus,Lóris Molucanus,"R$ 1.650,00",Fêmea,1,Normais,2017,Comum,,,,,Fêmea Lóris Molucanus  2017 ,Fêmea:  2017 ,Lóris Molucanus Comum,
Trichoglossus moluccanus,Lóris Molucanus,"R$ 3.100,00",Casal,1,Normais,2017,Comum,,2017,,,Casal Lóris Molucanus Macho  2017 X Fêmea  2017,Casal: Macho  2017 X Fêmea  2017,Lóris Molucanus Comum,
Trichoglossus moluccanus,Lóris Molucanus,"R$ 4.500,00",Casal,1,Normais,2012,Comum,,2012,,,Casal Lóris Molucanus Macho  2012 X Fêmea  2012,Casal: Macho  2012 X Fêmea  2012,Lóris Molucanus Comum,
Trichoglossus haematodus,Lóris Arco Íris,"R$ 1.300,00",Macho,1,Normais,2017,Comum,,,,,Macho Lóris Arco Íris  2017 ,Macho:  2017 ,Lóris Arco Íris Comum,
Trichoglossus haematodus,Lóris Arco Íris,"R$ 1.300,00",Fêmea,1,Normais,2017,Comum,,,,,Fêmea Lóris Arco Íris  2017 ,Fêmea:  2017 ,Lóris Arco Íris Comum,
Trichoglossus haematodus,Lóris Arco Íris,"R$ 1.300,00",Casal,1,Normais,2017,Comum,,2017,Comum,,Casal Lóris Arco Íris Macho  2017 X Fêmea  2017,Casal: Macho  2017 X Fêmea  2017,Lóris Arco Íris Comum,Lóris Arco Íris Comum
Trichoglossus haematodus,Lóris Arco Íris,"R$ 3.500,00",Casal,1,Normais,2013,Comum,,2013,Comum,,Casal Lóris Arco Íris Macho  2013 X Fêmea  2013,Casal: Macho  2013 X Fêmea  2013,Lóris Arco Íris Comum,Lóris Arco Íris Comum
Lorius lory,Lóris Bailarino,"R$ 2.500,00",Macho,1,Normais,2017,Comum,,,,,Macho Lóris Bailarino  2017 ,Macho:  2017 ,Lóris Bailarino Comum,
Lorius lory,Lóris Bailarino,"R$ 4.900,00",Casal,1,Normais,2017,Comum,,2017,Comum,,Casal Lóris Bailarino Macho  2017 X Fêmea  2017,Casal: Macho  2017 X Fêmea  2017,Lóris Bailarino Comum,Lóris Bailarino Comum
Lorius garrulus,Lóris Amor-Amor,"R$ 2.500,00",Macho,1,Normais,2017,Comum,,,,,Macho Lóris Amor-Amor  2017 ,Macho:  2017 ,Lóris Amor-Amor Comum,
Lorius garrulus,Lóris Amor-Amor,"R$ 4.900,00",Casal,1,Normais,2017,Comum,,2017,Comum,,Casal Lóris Amor-Amor Macho  2017 X Fêmea  2017,Casal: Macho  2017 X Fêmea  2017,Lóris Amor-Amor Comum,Lóris Amor-Amor Comum
Lorius garrulus,Lóris Amor-Amor,"R$ 3.500,00",Macho,1,Normais,2012,Comum,,,,,Macho Lóris Amor-Amor  2012 ,Macho:  2012 ,Lóris Amor-Amor Comum,
Pseudeos fuscata,Lóris Dusky,"R$ 3.500,00",Fêmea,1,Normais,2017,Laranja,,,,,Fêmea Lóris Dusky Laranja 2017 ,Fêmea: Laranja 2017 ,Lóris Dusky Laranja,
Chalcopsitta duivenbodei,Lóris Castanho,"R$ 3.500,00",Macho,1,Normais,2017,Comum,,,,,Macho Lóris Castanho  2017 ,Macho:  2017 ,Lóris Castanho Comum,
Chalcopsitta duivenbodei,Lóris Castanho,"R$ 3.500,00",Fêmea,1,Normais,2017,Comum,,,,,Fêmea Lóris Castanho  2017 ,Fêmea:  2017 ,Lóris Castanho Comum,
Chalcopsitta sintillata,Lóris Sintillata,"R$ 4.900,00",Macho,1,Normais,2016,Comum,,,,,Macho Lóris Sintillata  2016 ,Macho:  2016 ,Lóris Sintillata Comum,
Chalcopsitta sintillata,Lóris Sintillata,"R$ 4.500,00",Macho,1,Normais,2018,Comum,,,,,Macho Lóris Sintillata  2018 ,Macho:  2018 ,Lóris Sintillata Comum,
